winner,looser,total turns,width,height,ships,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/clockwise targeting,16,6,6,2;3;4,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/clockwise targeting,17,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,15,6,6,2;3;4,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/clockwise targeting,18,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,17,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,15,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,21,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,18,6,6,2;3;4,,
tie,tie,17,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,21,6,6,2;3;4,,
tie,tie,21,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,13,6,6,2;3;4,,
tie,tie,24,6,6,2;3;4,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/clockwise targeting,16,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,16,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,18,6,6,2;3;4,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/clockwise targeting,14,6,6,2;3;4,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/clockwise targeting,17,6,6,2;3;4,,
tie,tie,21,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,16,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,10,6,6,2;3;4,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/clockwise targeting,15,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,11,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,16,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,15,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,17,6,6,2;3;4,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/clockwise targeting,15,6,6,2;3;4,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/clockwise targeting,12,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,14,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,11,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,20,6,6,2;3;4,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/clockwise targeting,20,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,19,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,12,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,18,6,6,2;3;4,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/clockwise targeting,15,6,6,2;3;4,,
tie,tie,24,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,18,6,6,2;3;4,,
random placement/parity shooting/clockwise targeting,cluster placement/parity shooting/clockwise targeting,15,6,6,2;3;4,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/clockwise targeting,15,6,6,2;3;4,,
